table_name|cols
accessibility_defaultaccessibility|id:bigint, created_at:timestamp with time zone, is_active:boolean, feature:character varying, filter:jsonb, exclude_all:boolean, is_enabled:boolean, created_by_id:integer, modified_by_id:integer
accessibility_defaultaccessibility_employees|id:bigint, defaultaccessibility_id:bigint, employee_id:bigint
asset_asset|id:bigint, created_at:timestamp with time zone, is_active:boolean, asset_name:character varying, asset_description:text, asset_tracking_id:character varying, asset_purchase_date:date, asset_purchase_cost:numeric, asset_status:character varying, expiry_date:date, notify_before:integer, asset_category_id_id:bigint, asset_lot_number_id_id:bigint, created_by_id:integer, modified_by_id:integer, owner_id:bigint
asset_assetassignment|id:bigint, created_at:timestamp with time zone, is_active:boolean, assigned_date:date, return_date:date, return_condition:text, return_status:character varying, return_request:boolean, asset_id_id:bigint, assigned_by_employee_id_id:bigint, assigned_to_employee_id_id:bigint, created_by_id:integer, modified_by_id:integer
asset_assetassignment_assign_images|id:bigint, assetassignment_id:bigint, returnimages_id:bigint
asset_assetassignment_return_images|id:bigint, assetassignment_id:bigint, returnimages_id:bigint
asset_assetcategory|id:bigint, created_at:timestamp with time zone, is_active:boolean, asset_category_name:character varying, asset_category_description:text, created_by_id:integer, modified_by_id:integer
asset_assetcategory_company_id|id:bigint, assetcategory_id:bigint, company_id:bigint
asset_assetdocuments|id:bigint, created_at:timestamp with time zone, is_active:boolean, file:character varying, asset_report_id:bigint, created_by_id:integer, modified_by_id:integer
asset_assetlot|id:bigint, created_at:timestamp with time zone, is_active:boolean, lot_number:character varying, lot_description:text, created_by_id:integer, modified_by_id:integer
asset_assetlot_company_id|id:bigint, assetlot_id:bigint, company_id:bigint
asset_assetreport|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, asset_id_id:bigint, created_by_id:integer, modified_by_id:integer
asset_assetrequest|id:bigint, created_at:timestamp with time zone, is_active:boolean, asset_request_date:date, description:text, asset_request_status:character varying, asset_category_id_id:bigint, created_by_id:integer, modified_by_id:integer, requested_employee_id_id:bigint
asset_returnimages|id:bigint, created_at:timestamp with time zone, is_active:boolean, image:character varying, created_by_id:integer, modified_by_id:integer
attendance_attendance|id:bigint, created_at:timestamp with time zone, is_active:boolean, attendance_date:date, attendance_clock_in_date:date, attendance_clock_in:time without time zone, attendance_clock_out_date:date, attendance_clock_out:time without time zone, attendance_worked_hour:character varying, minimum_hour:character varying, attendance_overtime:character varying, attendance_overtime_approve:boolean, attendance_validated:boolean, at_work_second:integer, overtime_second:integer, approved_overtime_second:integer, is_validate_request:boolean, is_bulk_request:boolean, is_validate_request_approved:boolean, request_description:text, request_type:character varying, is_holiday:boolean, requested_data:jsonb, attendance_day_id:bigint, batch_attendance_id_id:bigint, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, shift_id_id:bigint, work_type_id_id:bigint
attendance_attendanceactivity|id:bigint, created_at:timestamp with time zone, is_active:boolean, attendance_date:date, in_datetime:timestamp with time zone, clock_in_date:date, clock_in:time without time zone, clock_out_date:date, out_datetime:timestamp with time zone, clock_out:time without time zone, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, shift_day_id:bigint
attendance_attendancegeneralsetting|id:bigint, created_at:timestamp with time zone, is_active:boolean, time_runner:boolean, enable_check_in:boolean, company_id_id:bigint, created_by_id:integer, modified_by_id:integer
attendance_attendancelatecomeearlyout|id:bigint, is_active:boolean, type:character varying, created_at:timestamp with time zone, attendance_id_id:bigint, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer
attendance_attendanceovertime|id:bigint, created_at:timestamp with time zone, is_active:boolean, month:character varying, month_sequence:smallint, year:character varying, worked_hours:character varying, pending_hours:character varying, overtime:character varying, hour_account_second:integer, hour_pending_second:integer, overtime_second:integer, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer
attendance_attendancerequestcomment|id:bigint, created_at:timestamp with time zone, is_active:boolean, comment:text, created_by_id:integer, employee_id_id:bigint, modified_by_id:integer, request_id_id:bigint
attendance_attendancerequestcomment_files|id:bigint, attendancerequestcomment_id:bigint, attendancerequestfile_id:bigint
attendance_attendancerequestfile|id:bigint, created_at:timestamp with time zone, is_active:boolean, file:character varying, created_by_id:integer, modified_by_id:integer
attendance_attendancevalidationcondition|id:bigint, created_at:timestamp with time zone, is_active:boolean, validation_at_work:character varying, minimum_overtime_to_approve:character varying, overtime_cutoff:character varying, auto_approve_ot:boolean, created_by_id:integer, modified_by_id:integer
attendance_attendancevalidationcondition_company_id|id:bigint, attendancevalidationcondition_id:bigint, company_id:bigint
attendance_batchattendance|id:bigint, created_at:timestamp with time zone, is_active:boolean, title:character varying, created_by_id:integer, modified_by_id:integer
attendance_gracetime|id:bigint, created_at:timestamp with time zone, is_active:boolean, allowed_time:character varying, allowed_time_in_secs:integer, allowed_clock_in:boolean, allowed_clock_out:boolean, is_default:boolean, created_by_id:integer, modified_by_id:integer
attendance_gracetime_company_id|id:bigint, gracetime_id:bigint, company_id:bigint
